InventoryID,Glottocode,ISO6393,GlottologName,PhoibleName,SpecificDialect,Source,family_id,level,status,latitude,longitude,country_ids,macroarea,macroarea2,elevation,Uvulars,Marginal_Uvular,Nonmarginal_Uvular,Ejectives,Marginal_Ejective,Nonmarginal_Ejective,Uvulars_no_rhotics,Marginal_Uvular_no_rhotics,Nonmarginal_Uvular_no_rhotics
2552,abkh1244,abk,Abkhazian,Abkhaz,Abkhaz (Bzyb),ea,abkh1242,language,vulnerable,"43,056218","41,159115",GE RU TR,Eurasia,Europe,539,11,0,11,13,0,13,8,0,8
2349,adyg1241,ady,Adyghe,Adyghe,NA,ea,abkh1242,language,vulnerable,44,"39,33",IL JO RU SY TR,Eurasia,Europe,304,6,0,6,14,0,14,4,0,4
2310,kaba1278,kbd,Kabardian,Kabardian,Kabardian (Baksan),ea,abkh1242,language,vulnerable,"43,5082","43,3918",RU TR,Eurasia,Europe,1189,8,0,8,10,0,10,6,0,6
198,afad1236,aal,Afade,KOTOKO,NA,upsid,afro1255,language,vulnerable,"12,0551","14,6343",CM NG,Africa,Africa,287,0,0,0,4,0,4,0,0,0
1342,afar1241,aar,Afar,Afar,NA,gm,afro1255,language,safe,"12,2281","41,8083",DJ ER ET,Africa,Africa,354,0,0,0,0,0,0,0,0,0
1451,alab1254,alw,Alaba-K'abeena,Alaaba,NA,gm,afro1255,language,safe,"7,39014","38,1732",ET,Africa,Africa,1984,0,0,0,8,0,8,0,0,0
2156,amha1245,amh,Amharic,Amharic,Gondar,uz,afro1255,language,safe,"11,708182","39,543456",DJ ET,Africa,Africa,3396,0,0,0,9,2,7,0,0,0
1525,arbo1245,arv,Arbore,Arbore,NA,gm,afro1255,language,definitely endangered,"4,92183","36,7986",ET,Africa,Africa,576,0,0,0,6,0,6,0,0,0
1396,argo1244,agj,Argobba,Argobba,NA,gm,afro1255,language,vulnerable,"10,6596","39,756",ET,Africa,Africa,2995,0,0,0,5,1,4,0,0,0
1542,awng1244,awn,Awngi,Awngi,NA,gm,afro1255,language,safe,"10,9819","36,6916",ET,Africa,Africa,2107,4,0,4,0,0,0,2,0,2
1437,bade1248,bde,Bade,Bade,Western,gm,afro1255,language,safe,"12,789","10,6557",NG,Africa,Africa,301,0,0,0,0,0,0,0,0,0
1248,bana1305,bcw,Bana,bana,NA,gm,afro1255,language,vulnerable,"10,3535","13,6131",CM,Africa,Africa,913,4,0,4,0,0,0,2,0,2
1612,bare1279,bva,Barain,Barein (Jalkiya),Jalkiya,gm,afro1255,language,definitely endangered,"11,1168","18,0764",TD,Africa,Africa,436,0,0,0,0,0,0,0,0,0
249,beja1238,bej,Beja,BEJA,NA,upsid,afro1255,language,safe,"17,2436","36,6666",EG ER SD,Africa,Africa,370,0,0,0,0,0,0,0,0,0
1401,besl1239,hna,Besleri,Besleri,NA,gm,afro1255,dialect,safe,NA,NA,NA,Africa,Africa,NA,0,0,0,0,0,0,0,0,0
1332,bili1260,byn,Bilin,Blin,NA,gm,afro1255,language,vulnerable,"15,7833","38,3917",ER,Africa,Africa,1663,0,0,0,4,0,4,0,0,0
1362,bora1271,gax,Borana-Arsi-Guji Oromo,Galla,NA,gm,afro1255,language,safe,"1,05676","37,882",ET KE SO,Africa,Africa,719,0,0,0,5,0,5,0,0,0
1657,burj1242,bji,Burji,Burji,NA,gm,afro1255,language,vulnerable,"4,44624","38,4646",ET KE,Africa,Africa,1459,0,0,0,4,0,4,0,0,0
1402,buwa1243,bhs,Buwal,Buwal,NA,gm,afro1255,language,safe,"10,6151","13,8838",CM,Africa,Africa,591,0,0,0,0,0,0,0,0,0
1609,cent2194,tzm,Central Moroccan Berber,Tamazight Berber,NA,gm,afro1255,language,safe,"32,7415","-2,40872",DZ MA,Africa,Africa,1355,2,0,2,0,0,0,2,0,2
866,cuvo1236,cuv,Cuvok,Cuvok,NA,ph,afro1255,language,safe,"10,6448","14,0006",CM,Africa,Africa,594,0,0,0,0,0,0,0,0,0
301,daha1245,dal,Dahalo,DAHALO,NA,upsid,afro1255,language,definitely endangered,"-2,1843","40,37",KE,Africa,Africa,95,0,0,0,8,0,8,0,0,0
297,dang1274,daa,Dangaleat,DANGALEAT,NA,upsid,afro1255,language,vulnerable,"12,1517","18,385",TD,Africa,Africa,626,0,0,0,0,0,0,0,0,0
420,dera1248,kna,Dera (Nigeria),KANAKURU,NA,upsid,afro1255,language,safe,"10,072","12,0256",NG,Africa,Africa,213,0,0,0,0,0,0,0,0,0
1299,dghw1239,dgh,Dghwede,Dghwede,NA,gm,afro1255,language,safe,"11,05751","13,77847",CM NG,Africa,Africa,718,0,0,0,0,0,0,0,0,0
1552,east2652,hae,Eastern Oromo,"Oromo, Eastern",Harar,gm,afro1255,language,safe,"8,67428","41,4395",ET,Africa,Africa,1317,0,0,0,8,0,8,0,0,0
132,egyp1253,arz,Egyptian Arabic,Egyptian Arabic,NA,spa,afro1255,language,safe,31,31,EG IL LY,Africa,Africa,17,6,0,6,0,0,0,4,0,4
1377,fali1285,fli,Fali,Kirya-Konzɘl,NA,gm,afro1255,language,safe,"10,5419","13,4087",CM NG,Africa,Africa,849,0,0,0,1,0,1,0,0,0
