"glottocode","lon","lat","elevation"
"aari1239",36.5721,5.95034,1508
"aasa1238",36.8648,-4.00679,1219
"abad1241",146.992,-9.03389,5
"abag1245",145.665,-6.12028,2055
"abai1240",118.306,5.55394,64
"abai1241",116.162455,3.524226,452
"aban1242",8.63055,6.30619,171
"abau1245",141.324,-3.97222,132
"foau1240",139.213,-3.04582,125
"abaz1241",42,44.25,554
"abee1242",-4.38497,5.59682,75
"aben1249",120.2,15.4131,878
"abid1235",-4.58421,5.65656,72
"abin1243",138.891,-2.92281,373
"abip1241",-61,-29,53
"abkh1244",41.159115,43.056218,539
"abom1238",142.842,-8.42448,81
"abon1238",10.8769,6.90621,591
"abro1238",-2.50289,7.72094,291
"abuu1241",144.474,-4.24027,59
"abua1244",6.61492,4.83057,128
"abua1245",142.917031,-3.461612,582
"abui1241",124.588,-8.31058,1188
"abun1252",132.416,-0.57073,1160
"abur1243",-3.64123,5.21534,74
"abur1244",6.50634,4.62301,97
"acat1239",-99.0602,17.1034,600
"achi1257",96.6032,3.90757,30
"acha1250",-72.2005,4.38649,153
"ache1244",102.446,24.152,1524
"ache1246",-56.4697,-25.5865,131
"ache1245",30.3187,10.8827,922
"achi1256",-90.3513,15.073,1404
"acht1238",6.47521,52.021,18
"achu1248",-77.2641,-2.82646,312
"achu1247",-121.191,41.0979,1250
"acol1236",32.5147,3.57738,932
"acro1239",-40.21445,-12.594,308
"adab1235",125.576,-8.22674,341
"adai1235",-92.0059,31.6314,24
"adam1253",13.077338,8.140326,363
"adam1238",-0.151,5.834,194
"adan1251",124.448,-8.18958,562
"adan1248",0.727155,6.50546,79
"adan1247",0.13243,5.9437,76
"adap1234",90.3369,27.141,2969
"adas1235",120.905,17.8187,1114
"adel1244",0.619185,8.16975,646
"adha1238",48.06,40.05,-22
"adho1243",34.0341,0.73235,1082
"adio1239",-4.52522,5.38228,135
"adiw1235",73.1426,24.0712,278
"adny1235",138.671,-30.1451,277
"adon1237",123.159,-8.32027,638
"adug1238",6.13085,7.64567,369
"adyg1241",39.33,44,304
"adze1240",146.294,-6.39394,238
"aeka1244",147.99477,-8.855095,250
"aeky1238",141.532,-5.88478,77
"aerr1238",69.029,25.254,11
"abis1238",-75.084405,-1.284096,180
"afad1236",14.6343,12.0551,287
"afar1241",41.8083,12.2281,354
"afgh1239",70.447778,34.434167,560
"afit1238",30.7611,12.446,560
"afri1274",30,-22,566
"afro1254",-99.2934,31.7843,511
"afud1235",11.296849,9.831149,476
"agar1252",145.917,-6.20604,1452
"agar1251",82.297,24.5024,238
"agat1236",7.71639,7.97915,141
"agav1236",-53.43936,-13.29849,288
"aghe1239",10.0807,6.38956,1145
"aghu1255",140.043,-6.34674,1
"aghu1253",47.5843,41.9242,2147
"aghu1254",142.426,-13.735,76
"aghu1256",144,-15,40
"aghw1237",47.126667,40.374444,87
"agii1245",142.387,-3.49104,609
"agob1244",142.532,-9.08521,1
"agoi1246",8.21629,5.87953,124
"agta1234",122.2802,17.0538,1070
"agua1252",-91.3153,15.3307,1707
"agua1251",-75.8333,-5.25,162
"agua1253",-77.9218,-5.30044,606
"agun1238",1.74452,7.49256,162
"agus1235",125.742,8.62731,22
"agut1237",119.655,10.5328,50
"agwa1247",8.03166,5.81055,97
"ahan1244",6.00896,7.44139,304
"ahan1243",-1.94657,4.85147,77
"ahin1234",120.90003,16.321,1300
"ahir1243",73.685,21.552,266
"ahom1240",88.464,27.2778,1123
"ahte1237",-144.889,61.7068,398
"aich1238",107.844,25.4908,957
"aigh1235",150.272,-5.99488,549
"aika1237",-60.5353,-12.6695,512
"aikl1237",149.571,-6.23575,1
"aima1241",59.1756,35.283,1394
"aime1238",142.656,-6.68656,341
"aimo1244",94.3556,24.6437,500
"ainb1238",141.149,-3.09214,308
"ainu1251",76.4209,39.2714,1222
"aiom1240",144.765,-5.13467,121
"airo1242",138.158,-1.8522,33
"musa1266",145.197,-5.37407,218
"aito1238",92.3169,26.5145,46
"ayiw1239",166.328715,-10.282595,NA
"ajab1235",1.64992,7.06634,152
"ajas1235",25.6122,8.58003,623
"ajaw1236",9.89205,10.21,557
"ajie1238",165.468,-21.3029,200
"mbuu1238",10.2556,6.53792,760
"ajyi1238",-74.61947,-9.82364,679
"akkk1240",141.784,-3.57026,292
"akaa1242",33.6524,11.2101,532
"akab1249",92.7818,12.3782,46
"akab1248",92.8011,12.3629,11
"akac1240",92.94855,13.49086,4
"akaj1239",92.9504,13.1525,225
"akak1252",92.8227,12.8494,5
"akak1253",92.78661,12.73253,1
"akak1251",92.7466,12.0944,1
"akan1250",-1.33254,6.34756,173
"akar1243",92.8278,12.6663,5
"akas1242",1.37035,8.8858,308
"west2635",-91.8421,15.5932,922
"akaw1239",-60.862,6.16277,733
"akee1238",8.75768,8.59543,235
"akeb1238",0.77668,7.78365,518
"akei1237",166.767,-15.6377,58
"akeu1235",101.0823,22.1959,995
"akha1245",100.964,21.2309,1202
"akhv1239",46.3037,42.4003,2917
"mosi1247",37.1869,-5.43471,1421
"akka1240",44.1,33.1,33
"akka1237",32.4046,67.8625,629
"akla1241",122.354,11.5543,146
"akol1237",150.182,-6.22711,5
"akoo1248",9.65522,4.9243,808
"akoy1238",145.669,-7.66067,302
"akpa1238",8.01629,7.32586,152
"akpe1248",5.95559,7.50256,301
"akpo1243",8.545454,9.235232,878
"akuk1235",6.34264,7.40354,280
"akum1238",9.96261,6.85716,667
"akun1241",-60.9716,-12.8322,362
"akur1238",-55.6294,3.19607,190
"akwa1248",15.4623,-0.39897,352
"alab1254",38.1732,7.39014,1984
"alab1237",-94.62848,30.76738,95
"alab1246",122.014,14.1217,31
"alac1239",-70.140381,-54.788017,NA
"alac1240",-71.04126,-53.435719,98
"alac1244",-98.58,17.25,2200
"alag1242",8.52085,8.34986,405
"alag1248",35.7231,-4.64148,1505
"alak1253",106.597,15.5565,379
"alam1246",143.316,-4.66307,290
"alan1249",121.022,13.0982,367
"alap1235",-59.996702,-12.329886,470
"alaw1244",134.282,-15.5458,125
"alba1271",19.817778,41.328889,104
"alco1235",-98.3969,17.3687,1942
"wail1242",166.902,-15.5656,204
"gaww1239",37.2737,5.37869,1449
"aleg1238",9.00394,6.59423,152
"alek1238",145.387,-6.03901,1871
"aleu1260",-174.29,52.1228,78
"alge1239",3.23033,35.4208,727
"alge1240",4.80626,20.8884,576
"alge1235",3.5462,36.4762,483
"algo1255",-77.5258,47.3876,335
"alii1240",18.0352,4.60014,393
"alip1234",77.107525,16.843564,413
"alla1248",-4.42647,5.22371,75
"alla1247",76.6593,11.0803,583
"alle1238",-68.096924,-33.480938,576
"alng1239",141.938,-12.5324,1
"aloa1235",-96.7438,17.4137,3056
"alop1235",101.933,23.59,963
"alor1247",124.264,-8.20382,356
"alsa1242",34.916111,31.284444,357
"alse1251",-123.94,44.408,76
"alug1235",103,23,2337
"aluk1238",76.7995,11.3456,1652
"alum1246",8.55956,9.01513,404
"alun1238",128.394,-3.11477,656
"aluo1235",102,26,1326
"alur1250",31.0016,2.36213,1442
"diaa1238",142.248,-3.38837,935
"alut1245",165.653,60.3844,9
"alvi1241",50.3794,35.0075,972
"alya1239",136.835,-21.0427,310
"amah1245",128.939,-3.32028,79
"amah1246",-72.3208,-10.2012,407
"amai1246",145.368,-5.18742,187
"amal1242",141.995,-4.04517,98
"amam1246",146.92,-7.9,2707
"amam1247",129.358991,28.268372,208
"aman1265",141.178,-3.51516,357
"aman1266",-48.6613,-3.79772,88
"amap1240",141.658,-4.20192,234
"amar1272",148.68,-5.55778,343
"amar1274",-70.5533,-12.4931,268
"amar1273",123.96373,-10.21751,161
"amas1236",29.4332,12.0993,688
"amat1238",-96.4003,16.2707,2035
"amba1265",136.526,-1.88126,1
"amba1269",144.285,-4.23181,19
"amba1267",120.283,14.8156,NA
"amba1266",166.498,-11.2958,55
"amba1263",30.0014,0.81206,562
"ambe1248",127.196,-3.85919,328
"ambe1247",9.62028,5.94043,1380
