InventoryID,Glottocode,ISO6393,GlottologName,PhoibleName,SpecificDialect,Source,family_id,level,status,latitude,longitude,country_ids,macroarea,Uvulars,Marginal_Uvular,Ejectives,Marginal_Ejective
1,kore1280,kor,Korean,Korean,NA,spa,kore1284,language,safe,37.5,128,CN KP KR RU,Eurasia,NA,NA,NA,NA
2,kett1243,ket,Ket,Ket,NA,spa,yeni1252,language,definitely endangered,63.7551,87.5466,RU,Eurasia,1,NA,NA,NA
3,lakk1252,lbe,Lak,Lak,NA,spa,nakh1245,language,vulnerable,42.1328,47.0809,AZ GE KZ RU UA,Eurasia,12,NA,10,NA
4,kaba1278,kbd,Kabardian,Kabardian,NA,spa,abkh1242,language,vulnerable,43.5082,43.3918,RU TR,Eurasia,8,NA,10,NA
5,nucl1302,kat,Georgian,Georgian,NA,spa,kart1248,language,safe,41.850397,43.78613,AM AZ GE IR RU TR,Eurasia,3,NA,6,NA
6,buru1296,bsk,Burushaski,Burushaski,NA,spa,,language,definitely endangered,36.2161,74.8236,IN PK,Eurasia,4,NA,NA,NA
7,kuru1302,kru,Kurukh,Kurukh,NA,spa,drav1251,language,vulnerable,24.4644,86.4657,BD BT IN,Eurasia,1,NA,NA,NA
8,telu1262,tel,Telugu,Telugu,NA,spa,drav1251,language,safe,16.4529,78.7024,IN,Eurasia,NA,NA,NA,NA
9,kota1263,kfe,Kota (India),Kota,NA,spa,drav1251,language,definitely endangered,11.4978,76.9387,IN,Eurasia,NA,NA,NA,NA
10,mund1320,unr,Mundari,Mundari,NA,spa,aust1305,language,safe,25.0391,87.1792,BD IN NP,NA,NA,NA,NA,NA
11,khar1287,khr,Kharia,Kharia,NA,spa,aust1305,language,vulnerable,22.3571,84.3922,IN NP,Eurasia,NA,NA,NA,NA
12,khas1269,kha,Khasi,Khasi,NA,spa,aust1305,language,vulnerable,24.977,91.9998,BD IN,Eurasia,NA,NA,NA,NA
13,seda1262,sed,Sedang,Sedang,NA,spa,aust1305,language,safe,14.7793,108.027,LA VN,Eurasia,NA,NA,NA,NA
14,cent1989,khm,Central Khmer,Cambodian,NA,spa,aust1305,language,safe,12.0515,105.015,KH LA TH VN,Eurasia,NA,NA,NA,NA
15,viet1252,vie,Vietnamese,Vietnamese,NA,spa,aust1305,language,safe,20.681188,105.774071,CN LA VN,Eurasia,NA,NA,NA,NA
16,mand1415,cmn,Mandarin Chinese,Mandarin Chinese,NA,spa,sino1245,language,safe,40.0209,116.228,CN KP LA MM MN RU TW VN,Eurasia,1,NA,NA,NA
17,wuch1236,wuu,Wu Chinese,Wu,NA,spa,sino1245,language,safe,29.8621,119.682,CN,Eurasia,NA,NA,NA,NA
18,hakk1236,hak,Hakka Chinese,Hakka,NA,spa,sino1245,language,safe,25,116,CN TW,Eurasia,NA,NA,NA,NA
19,yuec1235,yue,Yue Chinese,Cantonese,NA,spa,sino1245,language,safe,23,113,CN VN,Eurasia,NA,NA,NA,NA
20,iumi1238,ium,Iu Mien,Yao,NA,spa,hmon1336,language,safe,20.83,101.17,CN LA MM TH VN,Eurasia,NA,NA,NA,NA
21,nyis1236,njz,Nyishi-Hill Miri,Dafla,NA,spa,sino1245,language,definitely endangered,27.278263,93.675529,IN,Eurasia,NA,NA,NA,NA
22,nucl1310,mya,Burmese,Burmese,NA,spa,sino1245,language,definitely endangered,20.7926,93.9665,BD MM TH,Eurasia,NA,NA,NA,NA
23,lahu1253,lhu,Lahu,Lahu,NA,spa,sino1245,language,safe,21.2701,100.214,CN LA MM TH VN,Eurasia,2,NA,NA,NA
24,garo1247,grt,Garo,Garo,NA,spa,sino1245,language,vulnerable,25.2954,90.462,BD IN,Eurasia,NA,NA,NA,NA
25,sgaw1245,ksw,S'gaw Karen,Karen,NA,spa,sino1245,language,safe,17.9872,97.7126,MM TH,Eurasia,NA,NA,NA,NA
26,lakk1238,lbc,Lakkia,Lakkia,NA,spa,taik1256,language,definitely endangered,24.1169,110.106,CN,Eurasia,NA,NA,NA,NA
27,thai1261,tha,Thai,Thai,NA,spa,taik1256,language,safe,14.192,100.671,KH MM TH,Eurasia,NA,NA,NA,NA
28,bouy1240,pcc,Bouyei,Yay,NA,spa,taik1256,language,safe,24.8484,106.187,CN VN,Eurasia,NA,NA,NA,NA
29,east2563,cjm,Eastern Cham,Cham,NA,spa,aust1307,language,vulnerable,11.2853,108.49,VN,Eurasia,NA,NA,NA,NA
30,atay1247,tay,Atayal,Atayal,NA,spa,aust1307,language,vulnerable,24.5209,121.388,TW,Papunesia,1,NA,NA,NA
31,plat1254,plt,Plateau Malagasy,Malagasy,NA,spa,aust1307,language,safe,-19.5907,47.1211,MG,Africa,NA,NA,NA,NA
32,stan1306,zsm,Standard Malay,Malay,NA,spa,aust1307,language,safe,3.08896,101.699,BN MY SG,Eurasia,NA,NA,NA,NA
33,bata1289,bbc,Batak Toba,Batak,NA,spa,aust1307,language,vulnerable,2.35498,99.1761,ID,Papunesia,1,NA,NA,NA
34,saba1265,snv,Sa'ban,Sa'ban,NA,spa,aust1307,language,vulnerable,3.58723,115.664,ID MY,Papunesia,NA,NA,NA,NA
35,sund1252,sun,Sundanese,Sundanese,NA,spa,aust1307,language,safe,-6.89708,107.106,ID,Papunesia,NA,NA,NA,NA
36,java1254,jav,Javanese,Javanese,NA,spa,aust1307,language,safe,-0.572307,110.885,ID MY,NA,NA,NA,NA,NA
37,taga1270,tgl,Tagalog,Tagalog,NA,spa,aust1307,language,safe,14.06,121.747,PH,Papunesia,NA,NA,NA,NA
