InventoryID,Glottocode,ISO6393,GlottologName,PhoibleName,SpecificDialect,Source,family_id,level,status,latitude,longitude,country_ids,macroarea,macroarea2,elevation,Uvulars,Marginal_Uvular,Nonmarginal_Uvular,Ejectives,Marginal_Ejective,Nonmarginal_Ejective
391,kaba1278,kbd,Kabardian,KABARDIAN,NA,upsid,abkh1242,language,vulnerable,"43,5082","43,3918",RU TR,Eurasia,Europe,1189,8,0,8,10,0,10
370,iraq1241,irk,Iraqw,IRAQW,NA,upsid,afro1255,language,safe,"-4,19948","35,2939",TZ,Africa,Africa,1841,2,0,2,2,0,2
351,haus1257,hau,Hausa,HAUSA,NA,upsid,afro1255,language,safe,"11,1513","8,7804",BF BJ CM NE NG TD,Africa,Africa,599,0,0,0,3,0,3
198,afad1236,aal,Afade,KOTOKO,NA,upsid,afro1255,language,vulnerable,"12,0551","14,6343",CM NG,Africa,Africa,287,0,0,0,4,0,4
576,tigr1270,tig,Tigre,TIGRE,NA,upsid,afro1255,language,safe,"17,3494","38,2233",ER SD,Africa,Africa,2359,0,0,0,4,0,4
555,soqo1240,sqt,Soqotri,SOCOTRI,NA,upsid,afro1255,language,definitely endangered,"12,4892","53,9168",YE,Eurasia,Western Asia,925,0,0,0,4,1,3
219,amha1245,amh,Amharic,AMHARIC,NA,upsid,afro1255,language,safe,"11,708182","39,543456",DJ ET,Africa,Africa,3396,0,0,0,5,1,4
301,daha1245,dal,Dahalo,DAHALO,NA,upsid,afro1255,language,definitely endangered,"-2,1843","40,37",KE,Africa,Africa,95,0,0,0,8,0,8
552,soma1255,som,Somali,SOMALI,NA,upsid,afro1255,language,safe,"4,778704","45,152856",DJ ET KE SO,Africa,Africa,226,1,0,1,0,0,0
231,egyp1253,arz,Egyptian Arabic,ARABIC,NA,upsid,afro1255,language,safe,31,31,EG IL LY,Africa,Africa,17,3,1,2,0,0,0
575,taha1241,thv,Tahaggart Tamahaq,TAMASHEQ,NA,upsid,afro1255,language,vulnerable,"22,5908","8,73169",DZ LY ML NE,Africa,Africa,991,3,0,3,0,0,0
591,lish1246,trg,Lishán Didán,NEO-ARAMAIC,NA,upsid,afro1255,language,definitely endangered,38,47,AZ GE IL,Eurasia,Western Asia,897,3,0,3,0,0,0
234,awng1244,awn,Awngi,AWIYA,NA,upsid,afro1255,language,safe,"10,9819","36,6916",ET,Africa,Africa,2107,4,0,4,0,0,0
249,beja1238,bej,Beja,BEJA,NA,upsid,afro1255,language,safe,"17,2436","36,6666",EG ER SD,Africa,Africa,370,0,0,0,0,0,0
297,dang1274,daa,Dangaleat,DANGALEAT,NA,upsid,afro1255,language,vulnerable,"12,1517","18,385",TD,Africa,Africa,626,0,0,0,0,0,0
420,dera1248,kna,Dera (Nigeria),KANAKURU,NA,upsid,afro1255,language,safe,"10,072","12,0256",NG,Africa,Africa,213,0,0,0,0,0,0
398,kera1255,ker,Kera,KERA,NA,upsid,afro1255,language,safe,"9,88165","15,1419",CM TD,Africa,Africa,354,0,0,0,0,0,0
470,marg1265,mrt,Marghi Central,MARGI,NA,upsid,afro1255,language,safe,"10,93854","13,0521",NG,Africa,Africa,423,0,0,0,0,0,0
223,ngas1240,anc,Ngas,ANGAS,NA,upsid,afro1255,language,safe,"9,32042","9,46146",NG,Africa,Africa,1236,0,0,0,0,0,0
491,ngiz1242,ngi,Ngizim,NGIZIM,NA,upsid,afro1255,language,vulnerable,"12,1051","11,0178",NG,Africa,Africa,318,0,0,0,0,0,0
446,peve1243,lme,Peve,LAME,NA,upsid,afro1255,language,safe,"9,16111","14,441",CM TD,Africa,Africa,320,0,0,0,0,0,0
542,tach1250,shi,Tachelhit,SHILHA,NA,upsid,afro1255,language,safe,"29,7854","-7,77879",DZ MA,Africa,Africa,1031,0,0,0,0,0,0
595,tera1251,ttr,Tera,TERA,NA,upsid,afro1255,language,safe,"11,0376","11,80953",NG,Africa,Africa,437,0,0,0,0,0,0
207,ainu1240,ain,Hokkaido Ainu,AINU,NA,upsid,ainu1252,language,critically endangered,"43,633654","142,46167",JP,Eurasia,Northern Eurasia,204,0,0,0,0,0,0
508,east2542,ojg,Eastern Ojibwa,OJIBWA,NA,upsid,algi1248,language,definitely endangered,"45,0112","-79,7503",CA,North America,North America,211,0,0,0,0,0,0
614,wiyo1248,wiy,Wiyot,WIYOT,NA,upsid,algi1248,language,extinct,"39,2492","-122,952",US,North America,North America,553,0,0,0,0,0,0
203,anga1290,agm,Angaataha,ANGAATIHA,NA,upsid,anga1289,language,safe,"-7,15012","146,352",PG,Papunesia,New Guinea,1544,0,0,0,0,0,0
230,mapu1245,arn,Mapudungun,ARAUCANIAN,NA,upsid,arau1255,language,definitely endangered,"-38,7392","-71,277",AR CL,South America,South America,1448,0,0,0,0,0,0
292,isla1278,crb,Island Carib,ISLAND CARIB,NA,upsid,araw1281,language,extinct,"15,364795","-61,342957",DO,North America,North America,1,0,0,0,0,0,0
288,asha1243,cni,Asháninka,CAMPA,NA,upsid,araw1281,language,vulnerable,"-11,9311","-73,9073",PE,South America,South America,726,0,0,0,0,0,0
366,igna1246,ign,Ignaciano,MOXO,NA,upsid,araw1281,language,definitely endangered,"-15,1188","-65,3993",BO,South America,South America,132,0,0,0,0,0,0
526,resi1247,rgr,Resígaro,RESIGARO,NA,upsid,araw1281,language,critically endangered,"-2,48139","-71,3578",CO PE,South America,South America,101,0,0,0,0,0,0
608,wapi1253,wap,Wapishana,WAPISHANA,NA,upsid,araw1281,language,vulnerable,"2,58744","-59,8021",BR GY,South America,South America,199,0,0,0,0,0,0
344,wayu1243,guc,Wayuu,GUAJIRO,NA,upsid,araw1281,language,vulnerable,"11,395566","-72,199791",CO VE,South America,South America,32,0,0,0,0,0,0
217,yane1238,ame,Yanesha',AMUESHA,NA,upsid,araw1281,language,definitely endangered,"-10,5454","-75,315",PE,South America,South America,1942,0,0,0,0,0,0
630,yucu1253,ycn,Yucuna,YUCUNA,NA,upsid,araw1281,language,definitely endangered,"-0,76075","-71,0033",BR CO PE,South America,South America,100,0,0,0,0,0,0
206,ahte1237,aht,Ahtena,AHTNA,NA,upsid,atha1245,language,critically endangered,"61,7068","-144,889",US,North America,North America,398,5,0,5,5,0,5
484,nava1243,nav,Navajo,NAVAJO,NA,upsid,atha1245,language,safe,"36,2106","-110,082",US,North America,North America,2196,0,0,0,5,0,5
359,hupa1239,hup,Hupa,HUPA,NA,upsid,atha1245,language,critically endangered,"41,0982","-123,68",US,North America,North America,159,2,0,2,6,0,6
325,eyak1241,eya,Eyak,EYAK,NA,upsid,atha1245,language,extinct,"60,4232","-144,762",US,North America,North America,3,4,0,4,6,0,6
278,chip1261,chp,Chipewyan,CHIPEWYAN,NA,upsid,atha1245,language,definitely endangered,"58,3637","-110,832",CA,North America,North America,334,0,0,0,7,0,7
579,tlin1245,tli,Tlingit,TLINGIT,NA,upsid,atha1245,language,critically endangered,"59,4447","-135,29",CA US,North America,North America,801,10,0,10,15,0,15
647,zulu1248,zul,Zulu,ZULU,NA,upsid,atla1278,language,safe,"-25,3305","31,3512",BW LS MZ SZ ZA,Africa,Africa,1028,0,0,0,5,0,5
618,nucl1347,wol,Wolof,WOLOF,NA,upsid,atla1278,language,safe,"15,2534","-15,383",GM GW ML MR SN,Africa,Africa,43,2,0,2,0,0,0
204,aghe1239,agq,Aghem,AGHEM,NA,upsid,atla1278,language,safe,"6,38956","10,0807",CM,Africa,Africa,1145,0,0,0,0,0,0
208,akan1250,aka,Akan,AKAN,NA,upsid,atla1278,language,safe,"6,34756","-1,33254",GH TG,Africa,Africa,173,0,0,0,0,0,0
212,alla1248,ald,Alladian,ALLADIAN,NA,upsid,atla1278,language,safe,"5,22371","-4,42647",CI,Africa,Africa,75,0,0,0,0,0,0
220,amoo1242,amo,Amo,AMO,NA,upsid,atla1278,language,safe,"10,3229","8,65405",NG,Africa,Africa,764,0,0,0,0,0,0
205,apro1235,ahp,Aproumu Aizi,AIZI,NA,upsid,atla1278,language,safe,"5,20273","-4,52192",CI,Africa,Africa,77,0,0,0,0,0,0
240,baat1238,bba,Baatonum,BARIBA,NA,upsid,atla1278,language,safe,"9,63186","2,99607",BJ NG,Africa,Africa,439,0,0,0,0,0,0
251,beem1239,beq,Beembe,BEEMBE,NA,upsid,atla1278,language,safe,"-3,95895","14,1",CG,Africa,Africa,361,0,0,0,0,0,0
257,bero1242,bom,Berom,BIROM,NA,upsid,atla1278,language,safe,"9,67037","8,81221",NG,Africa,Africa,1219,0,0,0,0,0,0
454,came1252,mcu,Donga Mambila,MAMBILA,NA,upsid,atla1278,language,definitely endangered,"6,43829","11,41953",CM NG,Africa,Africa,843,0,0,0,0,0,0
537,ceba1235,sef,Cebaara Senoufo,SENADI,NA,upsid,atla1278,language,safe,"9,50768","-6,15264",BF CI ML,Africa,Africa,444,0,0,0,0,0,0
299,dagb1246,dag,Dagbani,DAGBANI,NA,upsid,atla1278,language,safe,"9,64745","-0,43227",GH TG,Africa,Africa,175,0,0,0,0,0,0
252,dalo1238,bev,Daloa Bété,BETE,NA,upsid,atla1278,language,safe,"6,69281","-6,63944",CI,Africa,Africa,286,0,0,0,0,0,0
310,doya1240,dow,Doyayo,DOAYO,NA,upsid,atla1278,language,safe,"8,68604","13,0768",CM,Africa,Africa,287,0,0,0,0,0,0
316,efik1245,efi,Efik,EFIK,NA,upsid,atla1278,language,safe,"4,89379","8,38121",CM NG,Africa,Africa,76,0,0,0,0,0,0
320,ejag1239,etu,Ejagham,EJAGHAM,NA,upsid,atla1278,language,safe,"5,54442","8,90959",CM NG,Africa,Africa,500,0,0,0,0,0,0
323,ewee1241,ewe,Ewe,EWE,NA,upsid,atla1278,language,safe,"6,46061","0,814975",GH TG,Africa,Africa,82,0,0,0,0,0,0
324,ewon1239,ewo,Ewondo,EWONDO,NA,upsid,atla1278,language,safe,"4,21141","11,93646",CM GA GQ,Africa,Africa,583,0,0,0,0,0,0
330,fefe1239,fmp,Fe'fe',FE?FE?,NA,upsid,atla1278,language,safe,"5,18158","10,1442",CM,Africa,Africa,1272,0,0,0,0,0,0
335,gaaa1244,gaa,Ga,GA,NA,upsid,atla1278,language,safe,"5,65488","-0,18598",GH,Africa,Africa,77,0,0,0,0,0,0
339,gbag1258,gbr,Gbagyi,GWARI,NA,upsid,atla1278,language,safe,"9,29842","6,90495",NG,Africa,Africa,272,0,0,0,0,0,0
338,gbay1287,gbp,Gbaya-Bossangoa,GBEYA,NA,upsid,atla1278,language,safe,"6,61896","17,645",CF,Africa,Africa,480,0,0,0,0,0,0
372,isok1239,iso,Isoko,ISOKO,NA,upsid,atla1278,language,safe,"5,52889","6,24682",NG,Africa,Africa,83,0,0,0,0,0,0
315,jola1263,dyo,Jola-Fonyi,DIOLA,NA,upsid,atla1278,language,safe,"12,75752","-15,7354766667",GM GW SN,Africa,Africa,15,0,0,0,0,0,0
417,klao1243,klu,Klao,KLAO,NA,upsid,atla1278,language,safe,"6,87233","-10,9214",LR SL,Africa,Africa,90,0,0,0,0,0,0
246,kohu1244,bcs,Kohumono,KOHUMONO,NA,upsid,atla1278,language,safe,"5,92596","7,96202",NG,Africa,Africa,106,0,0,0,0,0,0
424,kpan1246,kpk,Kpan,KPAN,NA,upsid,atla1278,language,vulnerable,"7,58343","10,1642",NG,Africa,Africa,152,0,0,0,0,0,0
441,lele1264,lef,Lelemi,LELEMI,NA,upsid,atla1278,language,safe,"7,34549","0,50746",GH TG,Africa,Africa,464,0,0,0,0,0,0
458,mbaa1245,mfc,Mba,MBA-NE,NA,upsid,atla1278,language,safe,"1,06885","25,143",CD,Africa,Africa,455,0,0,0,0,0,0
